"month_year","client_id"
"2015-06",250
"2015-06",251
"2015-06",253
"2015-06",527
"2015-06",747
"2015-06",886
"2015-06",939
"2015-06",963
"2015-06",1019
"2015-06",1200
"2015-06",1298
"2015-06",1411
"2015-06",1433
"2015-06",1604
"2015-06",1657
"2015-06",1731
"2015-06",1902
"2015-06",1916
"2015-06",1941
"2015-06",2378
"2015-06",2464
"2015-06",2555
"2015-06",2712
"2015-06",2718
"2015-06",2820
"2015-06",2998
"2015-06",3078
"2015-06",3087
"2015-06",3183
"2015-06",3278
"2015-06",3300
"2015-06",3376
"2015-06",3425
"2015-06",3443
"2015-06",3878
"2015-06",3903
"2015-06",3965
"2015-06",4224
"2015-06",4461
"2015-06",4608
"2015-06",4972
"2015-06",5029
"2015-06",5060
"2015-06",5175
"2015-06",5229
"2015-06",5532
"2015-06",5695
"2015-06",5733
"2015-06",5755
"2015-06",5845
"2015-06",6070
"2015-06",6732
"2015-06",6935
"2015-06",6953
"2015-06",6970
"2015-06",7128
"2015-06",7252
"2015-06",7618
"2015-06",7643
"2015-06",7703
"2015-06",7734
"2015-06",7931
"2015-06",7964
"2015-06",8011
"2015-06",8073
"2015-06",8125
"2015-06",8341
"2015-06",8381
"2015-06",8525
"2015-06",8586
"2015-06",8791
"2015-06",8827
"2015-06",9173
"2015-06",9249
"2015-06",9318
"2015-06",9364
"2015-06",9602
"2015-06",9704
"2015-06",9990
"2015-07",250
"2015-07",251
"2015-07",253
"2015-07",527
"2015-07",641
"2015-07",747
"2015-07",886
"2015-07",939
"2015-07",1019
"2015-07",1298
"2015-07",1411
"2015-07",1433
"2015-07",1657
"2015-07",1731
"2015-07",1902
"2015-07",1916
"2015-07",1941
"2015-07",2066
"2015-07",2154
"2015-07",2378
"2015-07",2464
"2015-07",2555
"2015-07",2712
"2015-07",2718
"2015-07",2820
"2015-07",2998
"2015-07",3078
"2015-07",3087
"2015-07",3183
"2015-07",3278
"2015-07",3300
"2015-07",3376
"2015-07",3425
"2015-07",3443
"2015-07",3878
"2015-07",3903
"2015-07",3965
"2015-07",4224
"2015-07",4461
"2015-07",4608
"2015-07",4972
"2015-07",5029
"2015-07",5060
"2015-07",5175
"2015-07",5229
"2015-07",5532
"2015-07",5604
"2015-07",5695
"2015-07",5755
"2015-07",5845
"2015-07",6070
"2015-07",6513
"2015-07",6935
"2015-07",6970
"2015-07",7128
"2015-07",7252
"2015-07",7703
"2015-07",7734
"2015-07",7964
"2015-07",8011
"2015-07",8073
"2015-07",8341
"2015-07",8381
"2015-07",8525
"2015-07",8586
"2015-07",8827
"2015-07",9173
"2015-07",9249
"2015-07",9318
"2015-07",9364
"2015-07",9602
"2015-07",9704
"2015-07",9990
"2015-08",5103
