"purchase_month","client_id"
"2015/05",3984
"2015/05",3965
"2015/05",8791
"2015/05",7128
"2015/05",3903
"2015/05",2712
"2015/05",7703
"2015/05",6365
"2015/05",250
"2015/05",4972
"2015/05",2555
"2015/05",1902
"2015/05",3443
"2015/05",886
"2015/05",8073
"2015/05",1200
"2015/05",3425
"2015/05",7964
"2015/05",8125
"2015/05",7160
"2015/05",8341
"2015/05",5845
"2015/05",4274
"2015/05",3736
"2015/05",4461
"2015/05",5755
"2015/05",7931
"2015/05",5733
"2015/05",641
"2015/05",5029
"2015/05",1433
"2015/05",9704
"2015/05",8586
"2015/05",1604
"2015/05",6513
"2015/05",1657
"2015/05",3878
"2015/05",527
"2015/05",7618
"2015/05",7252
"2015/05",4608
"2015/05",8011
"2015/05",1941
"2015/05",8381
"2015/05",5382
"2015/05",9364
"2015/05",6732
"2015/05",7734
"2015/05",5604
"2015/05",1916
"2015/05",5695
"2015/05",5103
"2015/05",3278
"2015/05",9173
"2015/05",8525
"2015/05",251
"2015/05",939
"2015/05",6070
"2015/05",2464
"2015/05",4380
"2015/05",3183
"2015/05",2378
"2015/05",1298
"2015/05",6970
"2015/05",1411
"2015/05",5175
"2015/05",2066
"2015/05",963
"2015/05",9318
"2015/05",9602
"2015/05",3078
"2015/05",9249
"2015/05",5229
"2015/05",7643
"2015/05",253
"2015/05",5532
"2015/05",3862
"2015/05",3300
"2015/05",3376
"2015/05",8189
"2015/05",1133
"2015/05",7899
"2015/05",8708
"2015/05",2718
"2015/05",3632
"2015/05",2998
"2015/05",1019
"2015/05",9990
"2015/05",4224
"2015/05",9902
"2015/05",747
"2015/05",7463
"2015/05",2820
"2015/05",6935
"2015/05",6953
"2015/05",2154
"2015/05",8827
"2015/05",5060
"2015/05",1731
"2015/05",3087
"2015/06",781
"2015/06",205
"2015/06",400
"2015/06",165
"2015/06",440
"2015/06",611
"2015/06",827
"2015/06",976
"2015/06",235
"2015/06",766
"2015/06",944
"2015/06",669
"2015/06",999
"2015/06",913
"2015/06",472
